sku_id,sku_name,brand_type,category,subcategory,supplier_id,shelf_life_days,is_perishable,unit_size,unit_of_measure,regular_unit_price_gbp,unit_cost_gbp,baseline_gross_margin_pct,price_elasticity_segment,promotion_sensitivity_segment,demand_volatility_segment,seasonal_profile,minimum_display_stock,reorder_lead_time_days
SKU0001,British Strawberries 400g,Premium,Fresh Produce,Fruit,SUP040,9,True,400g,g,3.81,2.06,45.93,High,High,High,None,7,3
SKU0002,Northstar Free Range Eggs 6 Pack,Own Label,Dairy & Eggs,Eggs,SUP013,21,True,500g,g,1.69,1.01,40.24,Low,Medium,Medium,None,9,4
SKU0003,Yorkshire Tea 80 Bags,Own Label,Ambient Grocery,Tea & Coffee,SUP035,260,False,500g,g,1.77,1.0,43.5,Medium,High,Low,Christmas,5,2
SKU0004,Sparkling Water 500ml,Own Label,Beverages,Water,SUP023,195,False,1L,ml,11.17,6.56,41.27,High,High,High,Christmas,4,8
SKU0005,Northstar White Farmhouse Loaf 800g,Branded,Bakery,Bread,SUP009,90,False,400g,g,1.32,0.87,34.09,Medium,Medium,Medium,Easter,7,7
SKU0006,British Maris Piper Potatoes 2.5kg,Own Label,Fresh Produce,Vegetables,SUP042,8,True,1kg,g,3.73,2.21,40.75,High,High,High,Winter,8,3
SKU0007,Northstar Semi Skimmed Milk 2 Pints,Premium,Dairy & Eggs,Milk,SUP040,14,True,1L,ml,2.95,1.58,46.44,Low,Low,Medium,None,5,3
SKU0008,Northstar Vanilla Ice Cream 1L,Own Label,Frozen,Ice Cream,SUP032,506,True,2 Pack,pack,2.33,1.43,38.63,Medium,Medium,Medium,None,3,1
SKU0009,Milk Chocolate Bar 100g,Own Label,Snacks & Confectionery,Chocolate,SUP023,253,False,6 Pack,pack,2.87,1.4,51.22,High,High,Medium,None,9,2
SKU0010,Northstar Easter Milk Chocolate Egg 180g,Own Label,Seasonal,Easter,SUP019,329,False,180g,g,8.33,4.9,41.18,High,High,High,Winter,7,1
SKU0011,Oakfield Toilet Tissue 12 Pack,Branded,Household & Cleaning,Paper Products,SUP021,1277,False,12 Pack,pack,2.78,1.79,35.61,Low,Medium,Low,Winter,7,2
SKU0012,Northstar Red Leicester 6 Pack,Own Label,Dairy & Eggs,Cheese,SUP039,90,False,6 Pack,pack,2.71,1.49,45.02,Low,High,Medium,Christmas,8,3
SKU0013,Britannia Kitchen Roll 1L,Branded,Household & Cleaning,Paper Products,SUP006,1371,False,1L,ml,7.98,4.95,37.97,Medium,Medium,Low,Winter,2,5
SKU0014,Oakfield Barbecue Charcoal 300g,Branded,Seasonal,Summer Outdoor,SUP024,590,False,300g,g,16.21,10.98,32.26,Low,High,High,Summer,3,2
SKU0015,Oakfield Vanilla Ice Cream 2 Pack,Branded,Frozen,Ice Cream,SUP004,422,True,2 Pack,pack,5.99,4.16,30.55,Medium,Medium,Medium,Winter,5,4
SKU0016,Northstar Chocolate Chip Cookies 6 Pack,Own Label,Snacks & Confectionery,Biscuits,SUP034,252,False,6 Pack,pack,1.38,0.79,42.75,High,High,Medium,Christmas,3,6
SKU0017,Northstar Finest Decaf Tea 1kg,Premium,Ambient Grocery,Tea & Coffee,SUP027,411,False,1kg,g,9.67,5.14,46.85,Medium,Medium,Low,None,7,5
SKU0018,Northstar Gold Blend Coffee 500g,Own Label,Ambient Grocery,Tea & Coffee,SUP036,680,False,500g,g,6.06,3.49,42.41,Medium,Medium,Low,Winter,2,1
SKU0019,Northstar Mixed Leaf Salad 250g,Own Label,Fresh Produce,Salads,SUP030,5,True,250g,g,1.24,0.68,45.16,High,High,High,Winter,2,1
SKU0020,Britannia Lactose Free Milk 500g,Branded,Dairy & Eggs,Milk,SUP021,21,True,500g,g,6.69,4.14,38.12,Low,Low,Medium,None,2,1
SKU0021,Britannia Multi Surface Cleaner 750ml,Branded,Household & Cleaning,Cleaning,SUP003,922,False,750ml,ml,4.23,2.46,41.84,Medium,Medium,Low,None,2,2
SKU0022,Northstar Finest Chocolate Chip Cookies 4 Pack,Premium,Bakery,Biscuits,SUP019,6,True,4 Pack,pack,4.53,2.74,39.51,Medium,Medium,Medium,Christmas,6,3
SKU0023,Northstar Vanilla Ice Cream 1kg,Own Label,Frozen,Ice Cream,SUP028,449,False,1kg,g,2.17,1.31,39.63,Medium,High,Medium,Winter,5,2
SKU0024,Northstar British Carrots 1kg,Own Label,Fresh Produce,Vegetables,SUP027,4,True,1kg,g,2.88,1.55,46.18,High,High,High,Summer,6,2
SKU0025,Crown Apple Juice 1L,Branded,Beverages,Juice,SUP036,283,False,1L,ml,14.24,9.18,35.53,Low,High,High,Christmas,8,4
SKU0026,Northstar Maris Piper Potatoes Each,Own Label,Fresh Produce,Vegetables,SUP032,4,True,Each,each,1.89,1.06,43.92,High,High,High,Winter,5,2
SKU0027,Northstar Finest Sweetcorn 400g,Premium,Ambient Grocery,Tins,SUP001,323,False,400g,g,4.65,2.63,43.44,Medium,Medium,Low,Winter,3,7
SKU0028,Greenfield Picnic Plates 180g,Branded,Seasonal,Summer Outdoor,SUP002,723,False,180g,g,3.61,2.38,34.07,Medium,High,High,Easter,5,4
SKU0029,Northstar Classic Coleslaw 400g,Own Label,Fresh Produce,Salads,SUP038,8,True,400g,g,2.93,1.73,40.96,High,High,High,Winter,7,3
SKU0030,Yorkshire Mayonnaise 400g,Branded,Ambient Grocery,Sauces,SUP014,635,False,400g,g,5.28,3.16,40.15,Medium,Medium,Low,Christmas,2,7
SKU0031,Northstar Toothpaste 75ml,Own Label,Health & Beauty,Oral Care,SUP014,671,False,75ml,ml,3.9,2.31,40.77,Low,High,Low,Christmas,2,4
SKU0032,Northstar Lemonade 4 Pack,Own Label,Beverages,Soft Drinks,SUP004,671,False,4 Pack,pack,8.82,4.23,52.04,High,High,High,Summer,6,6
SKU0033,Northstar Festive Shortbread 6 Pack,Own Label,Seasonal,Christmas,SUP035,415,False,6 Pack,pack,11.5,6.97,39.39,High,High,High,Winter,5,8
SKU0034,Northstar Mixed Nuts 100g,Own Label,Snacks & Confectionery,Nuts,SUP043,456,False,100g,g,4.68,2.58,44.87,High,High,Medium,None,4,1
SKU0035,Yorkshire Kitchen Roll 12 Pack,Branded,Household & Cleaning,Paper Products,SUP024,1407,False,12 Pack,pack,3.8,2.27,40.26,Medium,Medium,Low,Winter,2,7
SKU0036,Northstar Bathroom Spray 12 Pack,Own Label,Household & Cleaning,Cleaning,SUP031,692,False,12 Pack,pack,5.8,3.42,41.03,Medium,Medium,Low,None,7,3
SKU0037,Northstar Large British Eggs 1L,Own Label,Dairy & Eggs,Eggs,SUP042,14,True,1L,ml,5.49,2.89,47.36,Low,High,Medium,Christmas,3,1
SKU0038,Yorkshire Basmati Rice 400g,Branded,Ambient Grocery,Pasta & Rice,SUP018,376,False,400g,g,9.31,5.96,35.98,Medium,Medium,Low,None,6,3
SKU0039,Northstar Premium Lager 2L,Own Label,Beverages,Beer & Cider,SUP026,156,False,2L,ml,4.28,2.48,42.06,High,High,High,Summer,8,5
SKU0040,Greenfield Premium Lager 2L,Branded,Beverages,Beer & Cider,SUP036,600,False,2L,ml,3.36,2.34,30.36,Medium,High,High,Christmas,9,4
SKU0041,Northstar Easy Peeler Oranges 400g,Own Label,Fresh Produce,Fruit,SUP018,7,True,400g,g,2.66,1.64,38.35,High,High,High,Winter,2,4
SKU0042,Northstar Curry Sauce 1kg,Own Label,Ambient Grocery,Sauces,SUP025,646,False,1kg,g,0.91,0.51,43.96,Medium,Medium,Low,Winter,5,7
SKU0043,Northstar Oat Cereal 80 Bags,Own Label,Ambient Grocery,Cereals,SUP007,236,False,80 Bags,bags,7.04,4.37,37.93,Medium,Medium,Low,None,3,1
SKU0044,Harbour Fresh Basil 1kg,Branded,Fresh Produce,Fresh Herbs,SUP021,6,True,1kg,g,3.86,2.74,29.02,Medium,High,High,None,9,4
